全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,設置者,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,SSID,提供エリア,URL,備考
372081,,1000070001,香川県三豊市,みとよ未来創造館（高瀬町農村環境改善センター）,ミトヨミライソウゾウカン（タカセチョウノウソンカンキョウカイゼンセンター）,,0008,香川県,三豊市,高瀬町下勝間,2347-1,みとよ未来創造館（高瀬町農村環境改善センター）,34.18200256,133.7140288,,(0875)73-3051,,,,,7670011,syougaigakusyuu-wifi,,,
372081,,1000070002,香川県三豊市,豊中町農村環境改善センター,トヨナカチョウノウソンカンキョウカイゼンセンター,,0029,香川県,三豊市,豊中町本山甲,192-1,豊中町農村環境改善センター,34.14735001,133.6955387,,(0875)62-1155,,,,,7691506,syougaigakusyuu-wifi,,,
372081,,1000070003,香川県三豊市,豊中町芙蓉文化の里館,トヨナカチョウフヨウブンカノサトカン,,0029,香川県,三豊市,豊中町本山甲,236,豊中町芙蓉文化の里館,34.14743782,133.6937053,,(0875)62-6430,,,,,7691506,syougaigakusyuu-wifi,,,
372081,,1000070004,香川県三豊市,三豊市市民交流センター,ミトヨシシミンコウリュウセンタ―,,0029,香川県,三豊市,豊中町本山甲,192-1,三豊市市民交流センター,34.14735001,133.6955387,,(0875)62-1155,,,,,7691506,syougaigakusyuu-wifi,,,
