市町村コード,ため池コード番号,名称,名称_カナ,都道府県,市区町村,住所,担当課,堤高(m),堤頂長(m),総貯水量(千m3),緯度,経度,ハザードマップ作成状況：作成の状況,ため池ＨＭ・浸水想定区域図　ＵＲＬ
372030,372030260,本条池,ホンジョウイケ,香川県,坂出市,坂出市西庄町字下々所930,坂出市農林水産課,5.7,106,5,34.31100000,133.88800000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25080.pdf
372030,372030261,向池,ムカイイケ,香川県,坂出市,坂出市西庄町字下々所907,坂出市農林水産課,5,105,9,34.31000000,133.88600000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25081.pdf
372030,372030263,滝池,タキイケ,香川県,坂出市,坂出市西庄町字下所882,坂出市農林水産課,6.2,61,2.05,34.31000000,133.88400000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25112.pdf
372030,372030264,山下上池,ヤマシタカミイケ,香川県,坂出市,坂出市西庄町字八十場1691,坂出市農林水産課,5.8,52,1.8,34.30900000,133.88300000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25113.pdf
372030,372030265,用池,ヨウイケ,香川県,坂出市,坂出市西庄町字八十場1688,坂出市農林水産課,5.5,54,4.8,34.30900000,133.88300000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25114.pdf
372030,372030266,油池,アブライケ,香川県,坂出市,坂出市西庄町字長台1615,坂出市農林水産課,6,70,5,34.30500000,133.88300000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25082.pdf
372030,372030268,上池,カミイケ,香川県,坂出市,坂出市西庄町字八十場1650,坂出市農林水産課,6,105,13,34.30600000,133.88100000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25083.pdf
372030,372030270,猪熊池,イノクマイケ,香川県,坂出市,坂出市西庄町字八十場1718,坂出市農林水産課,5.2,73,2.1,34.31200000,133.88200000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25115.pdf
372030,372030271,富士見下池,フジミシタイケ,香川県,坂出市,坂出市富士見町2丁目1322,坂出市農林水産課,3.4,32,0.35,34.30300000,133.84800000,,https://www.city.sakaide.lg.jp/uploaded/attachment/24926.pdf
372030,372030273,大谷池,オオタニイケ,香川県,坂出市,坂出市川津町常山1836,坂出市農林水産課,5,38,2.5,34.29600000,133.86900000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25104.pdf
372030,372030274,四角上池,シカクウワイケ,香川県,坂出市,坂出市川津町折居1590,坂出市農林水産課,4.5,50,1,34.28788889,133.87219444,,https://www.city.sakaide.lg.jp/uploaded/attachment/25117.pdf
372030,372030275,長池,ナガイケ,香川県,坂出市,坂出市川津町5549,坂出市農林水産課,3.1,64,1.4,34.28300000,133.85000000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25084.pdf
372030,372030279,３号調整池,サンゴウチョウセイイケ,香川県,坂出市,坂出市府中町4715-1,坂出市農林水産課,7.25,99,12.165,34.29300000,133.90900000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25118.pdf
372030,372030280,６号調整池,ロクゴウチョウセイケ,香川県,坂出市,坂出市府中町4622,坂出市農林水産課,5.55,45,2.94,34.28600000,133.90900000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25119.pdf
372030,372030309,鎌田東下池,カマダヒガシシタイケ,香川県,坂出市,坂出市大池町264-1,坂出市農林水産課,4.5,37,0.1,34.29800000,133.85700000,,https://www.city.sakaide.lg.jp/uploaded/attachment/24924.pdf
