都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
374032,1,香川県,琴平町,琴平町立南幼稚園,コトヒラチョウリツミナミヨウチエン,KotohiraMunicipalMinamiKindergarten,香川県仲多度郡琴平町102-1,,34.18743,133.824487,琴平町,(0877)73-2521,,SH-05La-E5DA15,施設内,http://www.town.kotohira.kagawa.jp,災害時のみ利用可能
374032,2,香川県,琴平町,琴平町立南保育所,コトヒラチョウリツミナミホイクショ,KotohiraMunicipalMinamiNurserySchool,香川県仲多度郡琴平町103,,34.187262,133.824148,琴平町,(0877)75-1022,,SH-05La-2896F3,施設内,http://www.town.kotohira.kagawa.jp,災害時のみ利用可能
374032,3,香川県,琴平町,琴平町立北保育所,コトヒラチョウリツキタホイクショ,KotohiraMunicipalKitaNurserySchool,香川県仲多度郡琴平町苗田634-1,,34.204898,133.816854,琴平町,(0877)73-3440,,SH-05La-E5D8B7,施設内,http://www.town.kotohira.kagawa.jp,災害時のみ利用可能
374032,4,香川県,琴平町,琴平町立北幼稚園,コトヒラチョウリツキタヨウチエン,KotohiraMunicipalKitaKindergarten,香川県仲多度郡琴平町上櫛梨31-1,,34.206152,133.81579,琴平町,(0877)73-2523,,SH-05La-E5DAD8,施設内,http://www.town.kotohira.kagawa.jp,災害時のみ利用可能
